lsoa11cd,tcity15cd,tcity15nm,lad11cd,lad11nm,GOR_CODE,GOR_NAME,totalSES,british_high,british_med,british_low,asian_high,asian_med,asian_low,black_high,black_med,black_low,british_subtotal,asian_subtotal,black_subtotal,high_subtotal,med_subtotal,low_subtotal,pbritish_high,pbritish_med,pbritish_low,pasian_high,pasian_med,pasian_low,pblack_high,pblack_med,pblack_low
E01010613,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1139,119,205,312,27,61,77,4,6,18,636,165,28,150,272,407,18.710691,32.232704,49.056602,16.363636,36.969696,46.666668,14.285714,21.428572,64.285713
E01010614,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1078,124,214,363,21,21,21,4,6,13,701,63,23,149,241,397,17.689016,30.527817,51.783169,33.333332,33.333332,33.333332,17.391304,26.086956,56.52174
E01010615,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1095,183,271,309,17,32,24,6,2,6,763,73,14,206,305,339,23.984272,35.517693,40.498035,23.287672,43.835617,32.876713,42.857143,14.285714,42.857143
E01010616,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1309,67,126,274,63,118,111,18,13,38,467,292,69,148,257,423,14.346895,26.980728,58.672379,21.575342,40.410957,38.013699,26.086956,18.84058,55.072464
E01010617,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1034,44,97,193,41,96,117,10,9,21,334,254,40,95,202,331,13.173653,29.041916,57.784431,16.141733,37.795277,46.062992,25,22.5,52.5
E01010618,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1158,36,71,155,63,164,147,2,1,5,262,374,8,101,236,307,13.740458,27.099237,59.160305,16.844919,43.850266,39.304813,25,12.5,62.5
E01010619,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1557,17,23,36,155,289,337,6,7,6,76,781,19,178,319,379,22.368422,30.263159,47.36842,19.846352,37.003841,43.149807,31.578947,36.842106,31.578947
E01010620,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1250,26,36,78,87,202,241,4,5,4,140,530,13,117,243,323,18.571428,25.714285,55.714287,16.415094,38.113209,45.471699,30.76923,38.46154,30.76923
E01010621,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1472,3,12,12,125,293,305,3,0,2,27,723,5,131,305,319,11.111111,44.444443,44.444443,17.289074,40.525589,42.185337,60,0,40
E01010622,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1581,16,20,54,104,254,343,3,1,7,90,701,11,123,275,404,17.777779,22.222221,60,14.835949,36.233952,48.930099,27.272728,9.090909,63.636364
E01010623,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1187,32,67,138,66,140,174,2,5,3,237,380,10,100,212,315,13.50211,28.270042,58.227848,17.368422,36.842106,45.789474,20,50,30
E01010624,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1494,5,23,32,88,274,319,4,3,6,60,681,13,97,300,357,8.333333,38.333332,53.333332,12.922174,40.234947,46.842876,30.76923,23.076923,46.153847
E01010625,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1180,40,79,183,53,144,115,2,1,1,302,312,4,95,224,299,13.245033,26.158941,60.596027,16.987179,46.153847,36.858974,50,25,25
E01010626,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1317,38,59,106,101,222,226,4,7,5,203,549,16,143,288,337,18.719212,29.064039,52.216747,18.397085,40.437157,41.165756,25,43.75,31.25
E01010627,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1161,69,123,171,59,156,171,4,6,12,363,386,22,132,285,354,19.008265,33.884296,47.107437,15.284974,40.414509,44.300518,18.181818,27.272728,54.545456
E01010628,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1350,179,283,335,59,86,87,7,4,6,797,232,17,245,373,428,22.459223,35.508156,42.032623,25.431034,37.068966,37.5,41.176472,23.529411,35.294117
E01010629,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1363,114,156,142,150,208,144,16,3,5,412,502,24,280,367,291,27.669903,37.864079,34.466019,29.880478,41.434261,28.685259,66.666664,12.5,20.833334
E01010630,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1144,131,223,287,60,79,64,1,5,6,641,203,12,192,307,357,20.436817,34.789391,44.773792,29.55665,38.916256,31.527094,8.333333,41.666668,50
E01010631,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1082,104,145,288,59,53,53,16,6,20,537,165,42,179,204,361,19.366854,27.001862,53.631287,35.757576,32.121212,32.121212,38.095238,14.285714,47.619049
E01010632,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,931,80,118,271,53,51,50,5,4,11,469,154,20,138,173,332,17.05757,25.159914,57.782516,34.415585,33.116882,32.467533,25,20,55
E01010633,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1262,296,297,234,68,80,75,4,3,3,827,223,10,368,380,312,35.792019,35.912937,28.295042,30.493273,35.874439,33.632286,40,30,30
E01010634,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1227,335,431,315,4,10,3,4,3,0,1081,17,7,343,444,318,30.989824,39.870491,29.139685,23.529411,58.823528,17.647058,57.142857,42.857143,0
E01010635,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1124,124,249,403,25,30,29,6,2,3,776,84,11,155,281,435,15.979382,32.087627,51.932991,29.761906,35.714287,34.523811,54.545456,18.181818,27.272728
E01010636,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1430,410,440,297,29,37,20,7,4,0,1147,86,11,446,481,317,35.745422,38.360943,25.893635,33.720932,43.023254,23.255814,63.636364,36.363636,0
E01010637,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1231,249,286,226,42,47,30,2,0,1,761,119,3,293,333,257,32.720104,37.58213,29.697765,35.294117,39.4958,25.210085,66.666664,0,33.333332
E01010649,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1102,199,356,375,4,10,7,4,2,3,930,21,9,207,368,385,21.39785,38.279572,40.322582,19.047619,47.619049,33.333332,44.444443,22.222221,33.333332
E01010650,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1103,111,208,402,3,14,12,7,6,17,721,29,30,121,228,431,15.395285,28.848822,55.755894,10.344828,48.275864,41.379311,23.333334,20,56.666668
E01010651,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1222,303,386,297,17,32,18,4,0,2,986,67,6,324,418,317,30.730223,39.148071,30.121704,25.373135,47.761192,26.865671,66.666664,0,33.333332
E01010652,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1340,297,431,414,5,6,5,8,3,4,1142,16,15,310,440,423,26.007006,37.740807,36.25219,31.25,37.5,31.25,53.333332,20,26.666666
E01010653,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1191,184,334,412,8,9,12,6,7,6,930,29,19,198,350,430,19.784946,35.913979,44.301075,27.586206,31.034483,41.379311,31.578947,36.842106,31.578947
E01010654,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1045,124,244,413,3,5,7,1,5,4,781,15,10,128,254,424,15.877081,31.241997,52.88092,20,33.333332,46.666668,10,50,40
E01010655,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1005,116,240,374,6,8,4,6,3,3,730,18,12,128,251,381,15.890411,32.876713,51.232876,33.333332,44.444443,22.222221,50,25,25
E01010656,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1226,262,386,317,11,33,22,2,7,4,965,66,13,275,426,343,27.150259,40,32.849739,16.666666,50,33.333332,15.384615,53.846153,30.76923
E01010657,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1243,292,400,364,7,10,4,3,0,2,1056,21,5,302,410,370,27.651516,37.878788,34.469696,33.333332,47.619049,19.047619,60,0,40
E01010658,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1383,61,93,130,125,192,200,7,7,13,284,517,27,193,292,343,21.478872,32.746479,45.774647,24.17795,37.137329,38.684719,25.925926,25.925926,48.148148
E01010659,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1271,66,131,273,63,135,139,3,1,4,470,337,8,132,267,416,14.042553,27.872341,58.085106,18.694363,40.059349,41.246292,37.5,12.5,50
E01010662,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1070,154,199,179,74,116,105,6,3,7,532,295,16,234,318,291,28.947369,37.406013,33.646618,25.084745,39.322033,35.59322,37.5,18.75,43.75
E01010663,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1214,71,130,254,49,114,120,16,6,15,455,283,37,136,250,389,15.604396,28.571428,55.824177,17.314487,40.282684,42.402828,43.243244,16.216217,40.540539
E01010664,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1167,147,196,174,99,137,152,0,0,3,517,388,3,246,333,329,28.43327,37.911026,33.655704,25.515465,35.309277,39.175259,0,0,100
